Unit,Species,name,Model,Area_farmed_Unit,sum_stat,Animal Feed,Animal Feed - Optimized,Deep Sink,Deep Sink - Optimized,Food,Food - Optimized,Fuel,Fuel - Optimized,Shallow Sink,Shallow Sink - Optimized
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,N,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,median,150.19160935493784,2350.24364161423,-26.48252812581169,296.44750027840325,223.87680524844103,3237.7171692675665,-3.2914907068321897,582.4057678248532,-36.056275224478924,181.81877752319275
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,mean,167.57445255657478,2454.980608928978,-20.632138119457586,357.0316809008239,269.26354572283293,3568.979494264302,3.748276266688686,642.356042738973,-32.774533080585186,223.56481778123626
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,min,-71.82870824677487,47.14196295640782,-89.04132097015078,-45.874465776767764,-72.5395037754259,115.72912757899206,-83.67318272251833,-47.89110683916253,-91.54930515893088,-64.89366110347088
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,max,867.3027013406968,8169.533938077882,232.64239948391366,2453.9388909825097,1762.1232720868088,14752.83593572444,273.02556648545027,2743.834349564724,170.94336900158774,1833.3909185575023
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,Pct_2.5,-29.69140638621375,640.4340797004227,-66.28289821162602,20.190674654092582,-19.779372071829265,746.7731508565662,-58.75925786504108,114.62931959543857,-69.59842595248081,-1.0904502844666675
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,Pct_25,64.69601965759651,1619.1030525312624,-42.798857606950506,164.44399842064084,99.5390185791741,2084.8231175324536,-28.387212829845588,370.399531024766,-48.82268796155371,95.82296515980838
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,Pct_75,252.1341294224457,3166.4296828158804,-5.411630170407287,482.76887818288094,392.21115647360796,4696.225947641369,27.376650385199778,852.5860265332074,-20.77741766467593,304.01665587842626
T CO2 / km2 / year,Total,Net_CO2_reduction,Sequestration,km2,Pct_97.5,465.23775709353333,4861.922462219647,56.20803967716313,1027.0719444294334,817.2637016485555,8353.345200572096,105.57799422390379,1524.3598027641683,23.90384841303071,688.7041457537091
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,N,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,median,241.9748205368823,2786.961937998943,32.22935705984766,375.8678977287897,315.9050324189998,3665.0405572171817,89.58735527329503,1032.4043281541362,20.43578821419061,240.30941585512488
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,mean,261.44128805119624,2890.7171052440294,39.75106489130491,437.7278298484292,363.1303812174544,4004.7159905793533,97.61511176131016,1078.0925390540244,25.49048386903447,281.8139486236583
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,min,9.536971783705711,149.59206008401958,0.6954796383438934,18.599568134671546,6.693093785994702,246.0482966139995,3.4395845652866104,54.55899028844922,0.5497319212977372,12.889254530584623
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,max,1072.081780759525,9618.45598233196,279.3939175396702,2531.363179582517,1897.6524450661855,16245.578338867417,443.3723006050048,4001.8083314422747,237.44912618594006,1876.4021040499895
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,Pct_2.5,36.74223813582715,809.9058383214121,4.473020264036899,89.90593736265181,46.18436155857502,932.5124942997684,13.730441792958306,299.82866664758274,2.842881981300409,59.95191734090133
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,Pct_25,145.07347659826954,1940.5284087244136,17.7222303783971,241.108119390754,179.25844596348392,2416.3469714714374,53.37154684521765,720.9690566693862,11.282786315740118,153.64727910706665
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,Pct_75,360.01750725741715,3727.8492322146303,53.58359515706729,567.5959272178925,495.3274257110544,5221.637538809984,133.4845363313435,1383.4256583596655,33.94191563344219,360.5690525587847
T CO2 / km2 / year,Total,Total_CO2_sequestered,Sequestration,km2,Pct_97.5,598.0970914926371,5598.220306108653,116.47108420541558,1124.863154747744,950.4926333058864,9017.620854602224,227.64604501017644,2133.4350613351226,76.80602090751255,745.3317604521162
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,N,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,median,89.33051292431473,390.1846442251365,60.484481116489,80.1281079100072,89.33051292431473,390.1846442251365,89.33051292431473,390.1846442251365,58.451894584205114,58.381746050854034
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,mean,93.86683549462147,435.73649631505145,60.38320301076249,80.6961489476053,93.86683549462147,435.73649631505145,93.86683549462147,435.73649631505145,58.26501694961966,58.24913084242202
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,min,28.10304946226011,52.15561083039164,24.888742499236496,30.977963645716613,28.10304946226011,52.15561083039164,28.10304946226011,52.15561083039164,23.88193503777133,23.88193503777133
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,max,256.3022767797076,1719.06990563119,97.64979625973109,163.03717859679026,256.3022767797076,1719.06990563119,256.3022767797076,1719.06990563119,95.74656796632298,95.8222082892539
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,Pct_2.5,48.96983155225588,112.99601248601354,36.330759524294244,49.54213375000847,48.96983155225588,112.99601248601354,48.96983155225588,112.99601248601354,34.223956784660395,34.14497978680327
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,Pct_25,73.00041287868613,255.50389885716913,51.713699579215984,68.9796133079937,73.00041287868613,255.50389885716913,73.00041287868613,255.50389885716913,49.58498434531559,49.58944414989116
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,Pct_75,109.84370652483658,567.040547350166,69.06864301112951,91.49136882175878,109.84370652483658,567.040547350166,109.84370652483658,567.040547350166,66.8407787600825,66.94867553088538
T CO2 / km2 / year,Total,Total_emissions,Emissions,km2,Pct_97.5,163.56967592290857,1001.7200665418611,83.83718206210906,115.38598457877137,163.56967592290857,1001.7200665418611,163.56967592290857,1001.7200665418611,81.7690893040392,81.62325824792674
